,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
3375852,3375852,China,28156,187500
3376638,3376638,China,30209,187500
3377424,3377424,China,23517,187500
3378210,3378210,China,34704,187500
3378996,3378996,China,38197,187500
3379782,3379782,China,37797,187500
3380568,3380568,China,37264,187500
3381354,3381354,China,36356,187500
3382140,3382140,China,37783,187500
3382926,3382926,China,27188,187500
3383712,3383712,China,39627,187500
3384498,3384498,China,44567,187500
3385284,3385284,China,38417,187500
3386070,3386070,China,37255,187500
3386856,3386856,China,38451,187500
3387642,3387642,China,34676,187500
3388428,3388428,China,27790,187500
3389214,3389214,China,49311,187500
3390000,3390000,China,52089,187500
3390786,3390786,China,48102,187500
3391572,3391572,China,44057,187500
3392358,3392358,China,41668,187500
3393144,3393144,China,41563,187500
3393930,3393930,China,30166,187500
3394716,3394716,China,46312,187500
3395502,3395502,China,48725,187500
3396288,3396288,China,44260,187500
3397074,3397074,China,41620,187500
3397860,3397860,China,39830,187500
3398646,3398646,China,40424,187500
3399432,3399432,China,30124,187500
3400218,3400218,China,47084,187500
3401004,3401004,China,50009,187500
3401790,3401790,China,46290,187500
3402576,3402576,China,44858,187500
3403362,3403362,China,44303,187500
3404148,3404148,China,44594,187500
3404934,3404934,China,34860,187500
3405720,3405720,China,50924,187500
3406506,3406506,China,56487,187500
3407292,3407292,China,48152,187500
3408078,3408078,China,52624,187500
3408864,3408864,China,46189,187500
3409650,3409650,China,46450,187500
3410436,3410436,China,34107,187500
3411222,3411222,China,43157,187500
3412008,3412008,China,54449,187500
3412794,3412794,China,55362,187500
3413580,3413580,China,50142,187500
3414366,3414366,China,45243,187500
3415152,3415152,China,43568,187500
3415938,3415938,China,30778,187500
3416724,3416724,China,46590,187500
3417510,3417510,China,46430,187500
3418296,3418296,China,41248,187500
3419082,3419082,China,38969,187500
3419868,3419868,China,37765,187500
3420654,3420654,China,37248,187500
3421440,3421440,China,28281,187500
3422226,3422226,China,41072,187500
3423012,3423012,China,42374,187500
3423798,3423798,China,37795,187500
3424584,3424584,China,36790,187500
3425370,3425370,China,34434,187500
3426156,3426156,China,33756,187500
3426942,3426942,China,24720,187500
3427728,3427728,China,36175,187500
3428514,3428514,China,32158,187500
3429300,3429300,China,35371,187500
3430086,3430086,China,29153,187500
3430872,3430872,China,27769,187500
3431658,3431658,China,26285,187500
3432444,3432444,China,19022,187500
3433230,3433230,China,27606,187500
3434802,3434802,China,25157,187500
3435588,3435588,China,23346,187500
3436374,3436374,China,22533,187500
3437160,3437160,China,22192,187500
3437946,3437946,China,20002,187500
3438732,3438732,China,21861,187500
3439518,3439518,China,27172,187500
3440304,3440304,China,24683,187500
3441090,3441090,China,22194,187500
3441876,3441876,China,20709,187500
3442662,3442662,China,20582,187500
3443448,3443448,China,16085,187500
3444234,3444234,China,22959,187500
3445020,3445020,China,24259,187500
3445806,3445806,China,21534,187500
3446592,3446592,China,19808,187500
3447378,3447378,China,18978,187500
3448164,3448164,China,19122,187500
3448950,3448950,China,16306,187500
3449736,3449736,China,23662,187500
3450522,3450522,China,24429,187500
3451308,3451308,China,22407,187500
3452880,3452880,China,19667,187500
3453666,3453666,China,19900,187500
3454452,3454452,China,17829,187500
3455238,3455238,China,23433,187500
3456024,3456024,China,24659,187500
3456810,3456810,China,22583,187500
3457596,3457596,China,463471,187500
3458382,3458382,China,546023,187500
3459168,3459168,China,747894,187500
3459954,3459954,China,896102,187500
3460740,3460740,China,1030187,187500
3461526,3461526,China,1219935,187500
3462312,3462312,China,1789770,187500
3463098,3463098,China,2300469,187500
3463884,3463884,China,3114193,187500
3464670,3464670,China,4068849,187500
3465456,3465456,China,5102957,187500
3466242,3466242,China,5905312,187500
3467028,3467028,China,6434648,187500
